flight_i,flight_j,gap_slots,slack_available,buffer_i_no_conn,buffer_j_no_conn,buffer_i_conn,buffer_j_conn,constraint_rhs,constraint_lhs,binding,dep_airport_j,airline_j,buf_j_change
3,869,1,150,27.62,25.41,27.62,17.38,150,-10.23,False,PHL,PSA Airlines,-8.030000000000001
7,828,2,330,22.7,19.69,22.7,15.0,330,-7.7,False,LGA,Republic Airways,-4.690000000000001
10,485,2,330,22.02,30.0,22.02,22.98,330,0.96,False,MSP,Delta Air Lines Inc,-7.02
19,828,2,330,21.65,19.69,21.65,15.0,330,-6.65,False,LGA,Republic Airways,-4.690000000000001
22,828,2,330,19.64,19.69,19.64,15.0,330,-4.64,False,LGA,Republic Airways,-4.690000000000001
26,828,2,330,20.91,19.69,20.91,15.0,330,-5.91,False,LGA,Republic Airways,-4.690000000000001
27,828,2,330,22.02,19.69,22.02,15.0,330,-7.02,False,LGA,Republic Airways,-4.690000000000001
29,485,2,330,21.96,30.0,21.96,22.98,330,1.02,False,MSP,Delta Air Lines Inc,-7.02
31,18,1,150,24.75,26.15,18.85,26.15,150,7.3,False,LGA,Endeavor Air,0.0
35,104,1,150,28.78,30.0,28.78,15.0,150,-13.78,False,CLT,American Airlines Inc.,-15.0
41,303,2,330,18.02,30.0,15.0,30.0,330,15.0,False,JFK,JetBlue Airways,0.0
42,58,1,150,20.98,30.0,15.0,30.0,150,15.0,False,SJU,American Airlines Inc.,0.0
53,584,1,150,20.83,25.5,20.83,24.17,150,3.35,False,PHX,American Eagle Airlines Inc.,-1.3299999999999983
60,104,1,150,28.73,30.0,28.73,15.0,150,-13.73,False,CLT,American Airlines Inc.,-15.0
79,871,2,330,21.01,30.0,15.0,30.0,330,15.0,False,CLT,PSA Airlines,0.0
82,104,1,150,28.55,30.0,28.55,15.0,150,-13.55,False,CLT,American Airlines Inc.,-15.0
94,725,1,150,16.63,30.0,16.63,15.0,150,-1.63,False,DEN,Southwest Airlines Co.,-15.0
98,104,1,150,27.78,30.0,27.78,15.0,150,-12.78,False,CLT,American Airlines Inc.,-15.0
102,104,1,150,27.11,30.0,27.11,15.0,150,-12.11,False,CLT,American Airlines Inc.,-15.0
103,104,1,150,27.21,30.0,27.21,15.0,150,-12.21,False,CLT,American Airlines Inc.,-15.0
106,104,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,CLT,American Airlines Inc.,-15.0
107,128,1,150,30.0,30.0,15.0,30.0,150,15.0,False,CLT,American Airlines Inc.,0.0
109,1165,1,150,18.3,28.03,18.3,26.7,150,8.41,False,ATL,Skywest Airlines Inc.,-1.3300000000000018
111,398,1,150,27.38,30.0,27.38,15.0,150,-12.38,False,ATL,Delta Air Lines Inc,-15.0
115,104,1,150,27.73,30.0,27.73,15.0,150,-12.73,False,CLT,American Airlines Inc.,-15.0
116,407,1,150,20.08,30.0,15.0,30.0,150,15.0,False,ORD,Delta Air Lines Inc,0.0
117,148,1,150,24.3,30.0,24.3,20.7,150,-3.6,False,DFW,American Airlines Inc.,-9.3
120,246,1,150,27.89,27.65,17.35,27.65,150,10.3,False,SNA,Alaska Airlines Inc.,0.0
137,893,1,150,25.41,19.07,25.41,19.07,150,-6.34,False,CLT,PSA Airlines,0.0
138,572,1,150,22.89,26.02,18.98,26.02,150,7.03,False,DFW,American Eagle Airlines Inc.,0.0
140,398,1,150,28.1,30.0,28.1,15.0,150,-13.1,False,ATL,Delta Air Lines Inc,-15.0
158,804,1,150,29.78,29.38,23.67,21.33,150,-2.34,False,SFO,Southwest Airlines Co.,-8.05
162,989,1,150,16.53,30.0,15.0,30.0,150,15.0,False,EGE,Skywest Airlines Inc.,0.0
164,955,1,150,30.0,23.75,30.0,15.0,150,-15.0,False,DFW,Skywest Airlines Inc.,-8.75
167,955,1,150,30.0,23.75,30.0,15.0,150,-15.0,False,DFW,Skywest Airlines Inc.,-8.75
175,179,1,150,29.04,28.78,29.04,15.96,150,-13.09,False,PDX,Alaska Airlines Inc.,-12.82
176,168,1,150,24.65,24.0,24.65,20.35,150,-4.29,False,SEA,Alaska Airlines Inc.,-3.6499999999999986
178,861,2,330,25.2,21.17,25.2,15.0,330,-10.2,False,EWR,Republic Airways,-6.170000000000002
185,273,2,330,25.2,30.0,25.2,15.0,330,-10.2,False,BOS,JetBlue Airways,-15.0
186,168,1,150,21.82,24.0,21.82,20.35,150,-1.47,False,SEA,Alaska Airlines Inc.,-3.6499999999999986
188,81,2,330,19.63,30.0,19.63,25.37,330,5.73,False,LIH,American Airlines Inc.,-4.629999999999999
190,715,1,150,27.06,24.77,20.23,24.77,150,4.53,False,AUS,Southwest Airlines Co.,0.0
191,1043,1,150,19.56,20.53,19.56,20.53,150,0.98,False,PDX,Skywest Airlines Inc.,0.0
192,281,2,330,19.63,30.0,15.0,30.0,330,15.0,False,FLL,JetBlue Airways,0.0
193,1167,1,150,19.56,20.41,19.56,20.41,150,0.86,False,SEA,Skywest Airlines Inc.,0.0
196,860,2,330,19.63,19.33,19.63,19.33,330,-0.3,False,EWR,Republic Airways,0.0
202,277,2,330,19.63,30.0,19.63,25.37,330,5.73,False,BOS,JetBlue Airways,-4.629999999999999
203,81,2,330,24.43,30.0,19.63,25.37,330,5.73,False,LIH,American Airlines Inc.,-4.629999999999999
204,293,1,150,21.16,30.0,21.16,17.14,150,-4.02,False,JFK,JetBlue Airways,-12.86
214,825,1,150,19.49,19.7,19.49,19.7,150,0.21,False,JFK,Republic Airways,0.0
220,1309,1,150,22.99,28.75,16.25,28.75,150,12.5,False,LIH,United Air Lines Inc.,0.0
222,223,1,150,30.0,30.0,15.0,30.0,150,15.0,False,JNU,Alaska Airlines Inc.,0.0
234,233,1,150,25.2,24.9,25.2,15.0,150,-10.2,False,SEA,Alaska Airlines Inc.,-9.899999999999999
238,557,1,150,19.98,30.0,19.98,25.02,150,5.04,False,HNL,Hawaiian Airlines Inc.,-4.98
243,804,2,330,20.98,29.38,20.98,21.33,330,0.35,False,SFO,Southwest Airlines Co.,-8.05
245,850,1,150,18.08,26.31,18.08,15.0,150,-3.08,False,CMH,Republic Airways,-11.309999999999999
271,269,1,150,27.08,30.0,27.08,17.92,150,-9.17,False,SAN,JetBlue Airways,-12.079999999999998
272,273,2,330,30.0,30.0,30.0,15.0,330,-15.0,False,BOS,JetBlue Airways,-15.0
279,280,1,150,24.13,30.0,24.13,20.87,150,-3.27,False,SAN,JetBlue Airways,-9.129999999999999
280,287,1,150,30.0,30.0,20.87,24.13,150,3.27,False,JFK,JetBlue Airways,-5.870000000000001
284,277,2,330,24.55,30.0,19.63,25.37,330,5.73,False,BOS,JetBlue Airways,-4.629999999999999
288,293,1,150,27.86,30.0,27.86,17.14,150,-10.72,False,JFK,JetBlue Airways,-12.86
294,123,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,CLT,American Airlines Inc.,-15.0
307,1275,2,330,30.0,30.0,15.0,30.0,330,15.0,False,LAX,United Air Lines Inc.,0.0
312,503,1,150,30.0,30.0,15.0,30.0,150,15.0,False,SAN,Delta Air Lines Inc,0.0
340,345,1,150,26.87,30.0,26.87,15.0,150,-11.87,False,LGA,Delta Air Lines Inc,-15.0
343,267,2,330,30.0,27.05,30.0,15.0,330,-15.0,False,SAN,Alaska Airlines Inc.,-12.05
345,44,1,150,30.0,30.0,15.0,30.0,150,15.0,False,DFW,American Airlines Inc.,0.0
347,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
361,828,2,330,25.91,19.69,25.91,15.0,330,-10.91,False,LGA,Republic Airways,-4.690000000000001
363,233,1,150,30.0,24.9,30.0,15.0,150,-15.0,False,SEA,Alaska Airlines Inc.,-9.899999999999999
366,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
367,705,1,150,30.0,11.06,30.0,11.06,150,-18.94,False,MIA,Southwest Airlines Co.,0.0
376,828,2,330,25.64,19.69,25.64,15.0,330,-10.64,False,LGA,Republic Airways,-4.690000000000001
378,724,1,150,30.0,30.0,23.08,21.92,150,-1.16,False,DEN,Southwest Airlines Co.,-8.079999999999998
380,828,2,330,24.44,19.69,24.44,15.0,330,-9.44,False,LGA,Republic Airways,-4.690000000000001
382,518,2,330,26.96,30.0,15.0,30.0,330,15.0,False,MSN,Frontier Airlines Inc.,0.0
387,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
391,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
393,731,1,150,30.0,25.03,30.0,15.0,150,-15.0,False,LAX,Southwest Airlines Co.,-10.030000000000001
394,479,1,150,30.0,30.0,17.97,27.03,150,9.06,False,ATL,Delta Air Lines Inc,-2.969999999999999
397,233,1,150,28.77,24.9,28.77,15.0,150,-13.77,False,SEA,Alaska Airlines Inc.,-9.899999999999999
399,828,2,330,26.21,19.69,26.21,15.0,330,-11.21,False,LGA,Republic Airways,-4.690000000000001
409,937,2,330,25.96,19.45,25.96,19.04,330,-6.93,False,PHX,Skywest Airlines Inc.,-0.41000000000000014
417,16,1,150,30.0,26.97,18.03,26.97,150,8.94,False,ATL,Endeavor Air,0.0
420,233,1,150,30.0,24.9,30.0,15.0,150,-15.0,False,SEA,Alaska Airlines Inc.,-9.899999999999999
421,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
429,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
431,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
439,287,1,150,30.0,30.0,20.87,24.13,150,3.27,False,JFK,JetBlue Airways,-5.870000000000001
440,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
441,1248,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,DEN,United Air Lines Inc.,-15.0
443,485,2,330,24.94,30.0,22.02,22.98,330,0.96,False,MSP,Delta Air Lines Inc,-7.02
446,1165,1,150,28.82,28.03,18.3,26.7,150,8.41,False,ATL,Skywest Airlines Inc.,-1.3300000000000018
459,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
462,233,1,150,30.0,24.9,30.0,15.0,150,-15.0,False,SEA,Alaska Airlines Inc.,-9.899999999999999
471,233,1,150,25.96,24.9,25.96,15.0,150,-10.96,False,SEA,Alaska Airlines Inc.,-9.899999999999999
472,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
473,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
475,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
479,104,1,150,30.0,30.0,27.03,15.0,150,-12.03,False,CLT,American Airlines Inc.,-15.0
481,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
487,350,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
488,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
489,1184,1,150,30.0,19.95,30.0,15.0,150,-15.0,False,ATL,Skywest Airlines Inc.,-4.949999999999999
494,828,2,330,24.01,19.69,24.01,15.0,330,-9.01,False,LGA,Republic Airways,-4.690000000000001
496,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
500,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
513,1052,1,150,30.0,24.11,30.0,15.0,150,-15.0,False,LAX,Skywest Airlines Inc.,-9.11
517,774,2,330,30.0,22.02,30.0,15.0,330,-15.0,False,PHX,Southwest Airlines Co.,-7.02
519,398,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ATL,Delta Air Lines Inc,-15.0
527,1248,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,DEN,United Air Lines Inc.,-15.0
535,601,3,510,18.87,27.87,17.13,27.87,510,10.75,False,SGF,American Eagle Airlines Inc.,0.0
567,873,1,150,30.0,18.91,30.0,15.0,150,-15.0,False,CLT,PSA Airlines,-3.91
579,398,1,150,29.16,30.0,29.16,15.0,150,-14.16,False,ATL,Delta Air Lines Inc,-15.0
594,1110,1,150,20.05,30.0,20.05,22.71,150,2.66,False,ORD,Skywest Airlines Inc.,-7.289999999999999
605,1110,1,150,22.29,30.0,22.29,22.71,150,0.42,False,ORD,Skywest Airlines Inc.,-7.289999999999999
607,479,1,150,13.33,30.0,13.33,27.03,150,13.7,False,ATL,Delta Air Lines Inc,-2.969999999999999
609,439,1,150,19.47,30.0,19.47,20.87,150,1.4,False,DEN,Delta Air Lines Inc,-9.129999999999999
610,1110,1,150,17.28,30.0,17.28,22.71,150,5.43,False,ORD,Skywest Airlines Inc.,-7.289999999999999
617,479,1,150,17.97,30.0,17.97,27.03,150,9.06,False,ATL,Delta Air Lines Inc,-2.969999999999999
620,398,1,150,20.79,30.0,20.79,15.0,150,-5.79,False,ATL,Delta Air Lines Inc,-15.0
631,627,1,150,14.13,29.63,14.13,29.63,150,15.5,False,BNA,Southwest Airlines Co.,0.0
632,661,1,150,21.99,22.99,21.99,22.99,150,1.0,False,SRQ,Southwest Airlines Co.,0.0
669,583,1,150,13.58,26.17,13.58,26.17,150,12.59,False,ORD,American Eagle Airlines Inc.,0.0
673,674,1,150,12.14,20.72,12.14,20.72,150,8.57,False,HOU,Southwest Airlines Co.,0.0
682,969,2,330,13.67,30.0,13.67,30.0,330,16.33,False,DEN,Skywest Airlines Inc.,0.0
707,179,2,330,16.15,28.78,16.15,15.96,330,-0.19,False,PDX,Alaska Airlines Inc.,-12.82
717,725,1,150,16.95,30.0,16.95,15.0,150,-1.95,False,DEN,Southwest Airlines Co.,-15.0
722,745,2,330,13.7,26.02,13.7,26.02,330,12.31,False,RSW,Southwest Airlines Co.,0.0
723,725,1,150,14.09,30.0,14.09,15.0,150,0.91,False,DEN,Southwest Airlines Co.,-15.0
730,1336,2,330,21.08,30.0,15.0,30.0,330,15.0,False,RNO,United Air Lines Inc.,0.0
732,725,1,150,14.47,30.0,14.47,15.0,150,0.53,False,DEN,Southwest Airlines Co.,-15.0
733,740,3,510,12.53,14.88,12.53,14.88,510,2.35,False,OAK,Southwest Airlines Co.,0.0
734,725,1,150,18.32,30.0,18.32,15.0,150,-3.32,False,DEN,Southwest Airlines Co.,-15.0
738,725,1,150,16.61,30.0,16.61,15.0,150,-1.61,False,DEN,Southwest Airlines Co.,-15.0
741,439,1,150,16.2,30.0,16.2,20.87,150,4.66,False,DEN,Delta Air Lines Inc,-9.129999999999999
748,725,1,150,15.93,30.0,15.93,15.0,150,-0.93,False,DEN,Southwest Airlines Co.,-15.0
750,1271,2,330,24.06,9.67,24.06,9.67,330,-14.39,False,LAS,United Air Lines Inc.,0.0
754,688,1,150,11.32,30.0,11.32,30.0,150,18.68,False,MDW,Southwest Airlines Co.,0.0
757,1248,1,150,24.73,30.0,24.73,15.0,150,-9.73,False,DEN,United Air Lines Inc.,-15.0
758,1248,1,150,20.61,30.0,20.61,15.0,150,-5.61,False,DEN,United Air Lines Inc.,-15.0
759,1248,1,150,21.21,30.0,21.21,15.0,150,-6.21,False,DEN,United Air Lines Inc.,-15.0
760,1248,2,330,13.96,30.0,13.96,15.0,330,1.04,False,DEN,United Air Lines Inc.,-15.0
761,1248,1,150,20.53,30.0,20.53,15.0,150,-5.53,False,DEN,United Air Lines Inc.,-15.0
769,1309,1,150,15.17,28.75,15.17,28.75,150,13.58,False,LIH,United Air Lines Inc.,0.0
792,794,2,330,29.39,10.0,29.39,10.0,330,-19.39,False,LAX,Southwest Airlines Co.,0.0
810,522,2,330,15.44,30.0,15.44,28.95,330,13.51,False,LAS,Frontier Airlines Inc.,-1.0500000000000007
811,522,2,330,16.05,30.0,16.05,28.95,330,12.9,False,LAS,Frontier Airlines Inc.,-1.0500000000000007
829,828,2,330,30.0,19.69,30.0,15.0,330,-15.0,False,LGA,Republic Airways,-4.690000000000001
834,828,2,330,13.95,19.69,13.95,15.0,330,1.05,False,LGA,Republic Airways,-4.690000000000001
843,828,2,330,14.18,19.69,14.18,15.0,330,0.82,False,LGA,Republic Airways,-4.690000000000001
850,849,1,150,26.31,30.0,15.0,30.0,150,15.0,False,LGA,Republic Airways,0.0
852,828,2,330,30.0,19.69,30.0,15.0,330,-15.0,False,LGA,Republic Airways,-4.690000000000001
858,541,1,150,11.78,30.0,11.78,30.0,150,18.22,False,EYW,Allegiant Air,0.0
860,728,1,150,19.33,11.23,19.33,11.23,150,-8.11,False,IND,Southwest Airlines Co.,0.0
864,508,2,330,14.7,30.0,14.7,30.0,330,15.3,False,ATL,Delta Air Lines Inc,0.0
870,104,1,150,28.44,30.0,28.44,15.0,150,-13.44,False,CLT,American Airlines Inc.,-15.0
874,73,1,150,11.06,29.01,11.06,29.01,150,17.95,False,CLT,American Airlines Inc.,0.0
876,104,1,150,20.27,30.0,20.27,15.0,150,-5.27,False,CLT,American Airlines Inc.,-15.0
877,104,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,CLT,American Airlines Inc.,-15.0
879,889,1,150,14.48,30.0,14.48,30.0,150,15.52,False,HSV,PSA Airlines,0.0
886,104,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,CLT,American Airlines Inc.,-15.0
