FlightDate,Airline,Dep_Airport,Arr_Airport,DepTime_label,Distance_type,Dep_Delay,Predicted_Delay,Delay_Probability,Buffer_No_Connections,Buffer_With_Connections,Residual_Delay_Baseline,Residual_Delay_Optimized,Cost_Baseline,Cost_Optimized,Cost_Saving,Has_Connection
2023-01-25,Endeavor Air,BWI,JFK,Afternoon,Short Haul,2.0,32.12,0.4129,30.0,30.0,2.0,0.0,6.0,30.0,-24.0,False
2023-01-11,Endeavor Air,EVV,ATL,Morning,Short Haul,-4.0,20.87,0.2302,20.87,20.87,0.0,0.0,0.0,20.87,-20.87,False
2023-01-30,Endeavor Air,LGA,PIT,Morning,Short Haul,-6.0,20.73,0.2102,20.73,20.73,0.0,0.0,0.0,20.73,-20.73,False
2023-01-03,Endeavor Air,DTW,PHL,Morning,Short Haul,-2.0,27.62,0.3211,27.62,27.62,0.0,0.0,0.0,27.62,-27.62,True
2023-01-19,Endeavor Air,ATL,ROA,Morning,Short Haul,-5.0,24.16,0.2536,24.16,24.16,0.0,0.0,0.0,24.16,-24.16,False
2023-01-06,Endeavor Air,JFK,BNA,Morning,Short Haul,-9.0,23.88,0.2281,23.88,23.88,0.0,0.0,0.0,23.88,-23.88,False
2023-01-18,Endeavor Air,MSP,MDW,Afternoon,Short Haul,-1.0,30.68,0.3573,30.0,30.0,0.0,0.0,0.0,30.0,-30.0,False
2023-01-11,Endeavor Air,MKE,LGA,Morning,Short Haul,-5.0,22.7,0.24,22.7,22.7,0.0,0.0,0.0,22.7,-22.7,True
2023-01-09,Endeavor Air,ATL,HPN,Afternoon,Short Haul,-2.0,23.73,0.2754,23.73,23.73,0.0,0.0,0.0,23.73,-23.73,False
2023-01-11,Endeavor Air,CHS,JFK,Morning,Short Haul,-3.0,19.99,0.1943,19.99,19.99,0.0,0.0,0.0,19.99,-19.99,False
2023-01-11,Endeavor Air,MEM,MSP,Morning,Short Haul,-9.0,22.02,0.2298,22.02,22.02,0.0,0.0,0.0,22.02,-22.02,True
2023-01-01,Endeavor Air,ATL,BTR,Morning,Short Haul,-2.0,20.14,0.2204,20.14,20.14,0.0,0.0,0.0,20.14,-20.14,False
2023-01-24,Endeavor Air,ATL,AEX,Afternoon,Short Haul,-5.0,22.43,0.2686,22.43,22.43,0.0,0.0,0.0,22.43,-22.43,False
